Team,G,POS,OER,DER,Tempo
Atlanta Hawks,67,5865.6,127.6595745,136.7635025,87.54626866
Boston Celtics,64,5340.6,135.4154964,128.0193237,83.446875
Brooklyn Nets,64,5444,130.2167524,130.9698751,85.0625
Charlotte Hornets,65,5257.6,127.1873098,135.5371272,80.88615385
Chicago Bulls,65,5554.2,125.0405099,128.6413885,85.44923077
Cleveland Cavaliers,65,5565.6,124.8382924,134.0556274,85.62461538
Dallas Mavericks,67,5552.8,140.3976372,133.1040196,82.87761194
Denver Nuggets,65,5437,131.9845503,128.4531911,83.64615385
Detroit Pistons,66,5431.6,130.3115104,134.638044,82.2969697
Golden State Warriors,65,5447.6,126.8815625,137.271459,83.80923077
Houston Rockets,64,5413.4,139.6534525,135.2200096,84.584375
Indiana Pacers,65,5526.4,128.6008975,126.3209323,85.02153846
Los Angeles Clippers,64,5312.4,139.9743995,132.12484,83.00625
Los Angeles Lakers,63,5263.6,136.845505,127.9732502,83.54920635
Memphis Grizzlies,65,5672.4,129.0635357,130.2975813,87.26769231
Miami Heat,65,5248.8,138.8888889,134.8879744,80.75076923
Milwaukee Bucks,65,5655.2,136.3700665,123.3908615,87.00307692
Minnesota Timberwolves,64,5521.4,131.2710544,136.2516753,86.271875
New Orleans Pelicans,64,5627,132.1485694,133.0904567,87.921875
New York Knicks,66,5427,128.6714575,136.5210982,82.22727273
Oklahoma City Thunder,64,5155.4,137.5063041,134.4609536,80.553125
Orlando Magic,65,5345.4,129.3448573,130.5234407,82.23692308
Philadelphia 76ers,65,5377,132.4716385,129.7935652,82.72307692
Phoenix Suns,65,5428,134.7826087,136.422255,83.50769231
Portland Trail Blazers,66,5616.4,133.5374973,135.4248273,85.0969697
Sacramento Kings,64,5407.2,128.9946738,131.2694186,84.4875
San Antonio Spurs,63,5282.4,134.957595,137.0589126,83.84761905
Toronto Raptors,64,5391.8,134.1110575,126.4512779,84.246875
Utah Jazz,64,5218.2,136.1772259,132.2869955,81.534375
Washington Wizards,64,5443.4,135.9260756,140.6841312,85.053125
